,Kilometres,Seats_count,Engine_in_litre,Cylinders_in_engine,FuelConsumption_Per100km,DriveType_4WD,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,Transmission_Automatic,Transmission_Manual,vechile_history_DEMO,vechile_history_NEW,vechile_history_USED,FuelType_Diesel,FuelType_Electric,FuelType_Hybrid,FuelType_LPG,FuelType_Leaded,FuelType_Other,FuelType_Premium,FuelType_Unleaded,BodyType_Commercial,BodyType_Convertible,BodyType_Coupe,BodyType_Hatchback,BodyType_Other,BodyType_People Mover,BodyType_SUV,BodyType_Sedan,BodyType_Ute / Tray,BodyType_Wagon,Brands
114,154347.0,5.0,1.8,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
115,20827.0,5.0,2.4,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,36
117,97745.0,5.0,2.5,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46
118,147626.0,5.0,1.3,4.0,6.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
120,153020.0,5.0,2.5,4.0,8.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
122,183924.0,5.0,2.8,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
124,126532.0,5.0,1.4,4.0,5.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
125,73421.0,5.0,2.0,4.0,7.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,50
126,155135.0,5.0,2.4,4.0,9.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
127,123330.0,5.0,1.4,4.0,6.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
128,44249.0,5.0,2.4,4.0,8.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,50
129,27100.0,5.0,1.5,4.0,4.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
130,70661.0,5.0,2.0,4.0,8.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
131,215100.0,5.0,2.5,4.0,9.3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
132,155036.0,5.0,1.4,4.0,5.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
135,174915.0,5.0,2.0,4.0,8.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
136,117000.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27
138,231675.0,5.0,2.5,4.0,9.1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
139,23332.0,5.0,2.0,4.0,6.4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
140,130647.0,5.0,1.4,4.0,5.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,70
141,47307.0,5.0,1.4,4.0,7.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
144,74983.0,5.0,2.5,4.0,7.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65
145,102496.0,5.0,2.3,4.0,8.8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46
146,84924.0,5.0,1.6,4.0,6.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
148,98296.0,5.0,2.0,4.0,7.668092061374249,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,48
149,67590.0,5.0,1.6,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19
150,65502.0,5.0,2.4,4.0,8.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,37
154,55794.0,5.0,1.4,4.0,7.668092061374249,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,66
155,258936.0,5.0,2.3,4.0,7.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51
158,251000.0,5.0,3.0,4.0,9.5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69
159,130242.0,5.0,2.0,4.0,5.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
160,35024.0,5.0,1.6,4.0,7.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29
161,44145.0,5.0,2.0,4.0,5.1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
162,29567.0,5.0,2.0,4.0,6.4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
163,223898.0,5.0,2.3,4.0,8.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46
165,149988.0,5.0,2.5,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
166,205373.0,5.0,2.0,4.0,7.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,50
168,201011.0,5.0,1.4,4.0,6.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,66
172,83147.0,5.0,1.4,4.0,6.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27
173,204000.0,5.0,2.5,4.0,9.3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
174,122077.0,5.0,2.0,4.0,7.2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,65
175,60581.0,5.0,2.0,4.0,6.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46
178,21350.0,5.0,2.0,4.0,7.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,37
186,15087.0,5.0,1.5,4.0,7.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28
188,97295.0,5.0,2.0,4.0,6.8,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29
189,83095.0,5.0,2.5,4.0,7.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46
191,192988.0,5.0,3.0,4.0,7.7,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33
192,105663.0,5.0,1.8,4.0,4.6,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48
195,11824.0,5.0,1.5,4.0,5.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
196,250318.0,5.0,1.8,4.0,7.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
198,38341.0,5.0,2.0,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29
199,7528.0,5.0,2.5,4.0,8.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
200,94385.0,5.0,1.5,4.0,5.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
203,106722.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,27
205,123624.0,5.0,1.8,4.0,7.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37
207,53426.0,5.0,1.5,4.0,4.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
208,114727.0,5.0,1.8,4.0,7.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
210,160523.0,5.0,2.0,4.0,8.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
212,39397.0,5.0,2.5,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,51
213,54368.0,5.0,2.0,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
214,220683.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,27
215,79008.0,5.0,1.6,4.0,7.668092061374249,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,49
216,89140.0,5.0,2.5,4.0,7.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
217,149974.0,5.0,1.8,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
218,44879.0,5.0,2.0,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
220,109519.0,5.0,1.8,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
222,155198.0,5.0,2.5,4.0,8.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,69
223,111323.0,5.0,1.3,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,28
224,79882.0,5.0,2.0,4.0,5.8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
225,155839.0,5.0,2.0,4.0,8.1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
226,66805.0,5.0,2.5,4.0,7.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,65
228,88465.0,5.0,1.4,4.0,6.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,37
232,130970.0,5.0,1.8,4.0,6.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
233,35612.0,5.0,1.5,4.0,6.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
234,148265.0,5.0,1.8,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
235,83494.0,5.0,1.6,4.0,7.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
236,85492.0,5.0,1.5,4.0,6.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
237,126408.0,5.0,2.0,4.0,8.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70
239,78783.0,5.0,1.6,4.0,5.9,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,53
241,101821.0,5.0,1.8,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28
242,221872.0,5.0,2.5,4.0,8.1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
243,90691.0,5.0,1.8,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,51
244,24305.0,5.0,2.5,4.0,7.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
245,168901.0,5.0,2.0,4.0,8.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
246,167562.0,5.0,2.4,4.0,9.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
248,236946.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
251,124882.0,5.0,1.6,4.0,5.3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51
252,247519.0,5.0,2.3,4.0,8.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,46
253,9819.0,5.0,1.4,4.0,7.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
256,106286.0,5.0,1.8,4.0,6.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
259,38821.0,5.0,2.2,4.0,5.2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
262,207966.0,5.0,2.4,4.0,9.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28
265,105633.0,5.0,1.5,4.0,4.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
266,169981.0,5.0,1.8,4.0,8.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,51
268,238016.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
269,44441.0,5.0,2.0,4.0,7.668092061374249,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,48
270,73021.0,5.0,2.0,4.0,5.9,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
271,106831.0,5.0,2.0,4.0,6.9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27
