,Price
613,15995.0
614,18990.0
615,17990.0
618,16984.0
619,23990.0
620,21950.0
621,22990.0
624,14900.0
625,68888.0
626,54800.0
627,19990.0
628,26790.0
632,12995.0
635,19999.0
638,16990.0
639,29999.0
641,8995.0
643,11990.0
644,15990.0
649,16990.0
650,22999.0
652,13990.0
654,35888.0
655,25776.0
657,33888.0
658,27990.0
659,13999.0
660,15990.0
661,30990.0
664,19900.0
666,23990.0
672,14990.0
674,58990.0
675,15990.0
676,8995.0
677,10999.0
678,23880.0
679,23900.0
680,29888.0
685,41800.0
686,17800.0
687,35880.0
690,16990.0
693,17880.0
696,40888.0
697,18888.0
698,6990.0
701,31800.0
702,14990.0
705,20888.0
706,29888.0
709,7995.0
710,9995.0
711,27990.0
712,20900.0
713,27888.0
714,10990.0
717,24900.0
719,7950.0
720,26990.0
724,34800.0
725,15950.0
727,19990.0
731,31990.0
732,10995.0
734,19995.0
735,5499.0
736,21990.0
738,41990.0
739,30888.0
742,29880.0
745,39990.0
749,56483.0
753,15950.0
755,34990.0
759,21990.0
760,47888.0
763,16290.0
764,40990.0
765,47990.0
767,23990.0
768,28800.0
770,33888.0
772,28990.0
773,30990.0
774,16990.0
776,33480.0
778,28888.0
779,37995.0
783,7950.0
785,52800.0
787,32447.0
788,24888.0
789,24990.0
790,14990.0
791,27900.0
792,33990.0
794,12999.0
795,12990.0
797,29990.0
799,55667.0
800,5995.0
802,16800.0
805,21999.0
806,64990.0
809,12990.0
810,24950.0
812,51585.0
814,6880.0
815,12990.0
817,44288.0
818,14880.0
819,28980.0
826,35888.0
827,30990.0
828,17999.0
830,64990.0
834,43990.0
837,29999.0
838,27990.0
839,14880.0
840,19880.0
841,51288.0
844,17800.0
845,22776.0
847,6990.0
848,28990.0
852,29999.0
853,16999.0
854,49900.0
862,12995.0
863,14990.0
864,25990.0
865,22880.0
870,24000.0
873,22990.0
874,42288.0
875,40898.0
876,8995.0
877,23980.0
878,23990.0
880,10950.0
881,26888.0
884,36800.0
886,9950.0
887,13990.0
889,28888.0
890,14990.0
894,22990.0
896,13990.0
897,20990.0
898,24990.0
901,28990.0
902,39280.0
903,16999.0
905,10995.0
906,19990.0
909,21990.0
910,27990.0
911,39990.0
912,10999.0
913,66888.0
914,17995.0
915,23990.0
916,22880.0
917,9999.0
919,29800.0
922,14880.0
924,21000.0
927,20480.0
928,27950.0
929,23990.0
930,66880.0
934,5995.0
939,37888.0
940,39990.0
941,21950.0
942,23888.0
945,17999.0
947,32950.0
948,30990.0
949,29999.0
950,26990.0
955,9800.0
957,66250.0
959,16990.0
960,52990.0
962,17990.0
964,29990.0
965,9990.0
967,7990.0
969,47999.0
971,37950.0
972,27990.0
973,15500.0
976,28800.0
979,5600.0
980,23990.0
981,57888.0
982,16880.0
983,7995.0
984,10990.0
985,18980.0
986,32999.0
987,23990.0
988,9983.0
990,28777.0
993,21990.0
994,23990.0
997,16950.0
1001,29990.0
1002,12950.0
1005,29990.0
1006,26950.0
1010,15999.0
1015,13995.0
1016,12995.0
1018,24990.0
1022,27990.0
1024,26888.0
1025,25990.0
1027,19800.0
1028,16990.0
1031,12990.0
1032,25995.0
1035,25990.0
1036,64788.0
1039,65640.0
1040,14995.0
1041,14990.0
1042,60890.0
1043,18950.0
1044,10990.0
1045,64900.0
1048,16880.0
1049,28990.0
1051,23950.0
1052,16990.0
1054,18990.0
1056,27999.0
1057,5999.0
1061,10990.0
1062,34990.0
1063,45990.0
1064,16990.0
1066,31800.0
1067,15990.0
1068,23990.0
1073,26990.0
1074,16990.0
1076,38990.0
1077,43990.0
1078,15990.0
1079,15990.0
1080,15990.0
1083,34990.0
1084,21990.0
1086,22999.0
1087,38499.0
1088,54990.0
1089,29999.0
1091,15995.0
1092,13990.0
1096,10999.0
1097,29990.0
1099,18990.0
1100,15995.0
1102,11995.0
1106,23950.0
1109,52585.0
1110,15490.0
1111,26900.0
1113,27999.0
1114,62900.0
1117,20490.0
1118,13950.0
1119,39888.0
1120,6490.0
1122,34888.0
1123,7995.0
1124,10990.0
1125,29990.0
1126,37980.0
1127,8999.0
1130,15990.0
1131,11995.0
1132,37888.0
1133,21990.0
1136,17990.0
1141,16950.0
1142,37990.0
1143,19490.0
1144,39880.0
1148,29995.0
1153,24990.0
1155,8999.0
1156,29419.0
1159,53999.0
1161,52888.0
1163,35990.0
1165,19950.0
1169,16999.0
1170,20990.0
1171,25990.0
1174,30441.0
1179,19995.0
1180,38990.0
1181,47878.0
1182,12990.0
1183,13990.0
1186,23990.0
1188,34990.0
1189,20490.0
1192,20750.0
1193,22990.0
1194,23980.0
1195,25990.0
1197,14990.0
1199,18555.0
1200,21990.0
1203,25990.0
1205,52990.0
1206,21990.0
1207,20690.0
1208,41688.0
1209,19300.0
1210,14800.0
1212,53888.0
1213,19990.0
1217,17950.0
1219,23990.0
1220,57888.0
1221,49990.0
1224,10995.0
1225,12995.0
1226,19990.0
1228,59990.0
1230,49888.0
1231,15990.0
1232,40990.0
1237,23980.0
1238,13990.0
1239,27000.0
1241,25990.0
1243,13990.0
1244,21990.0
1246,24995.0
1247,10888.0
1248,29999.0
1249,14999.0
1250,31990.0
1251,22888.0
1252,36950.0
1254,16990.0
1257,40990.0
1258,64888.0
1260,54714.0
1261,43995.0
1262,24990.0
1264,45990.0
1265,14995.0
1268,45490.0
1270,45900.0
1272,20990.0
1273,31990.0
1279,13490.0
1280,31888.0
1281,33450.0
1282,31990.0
1286,25999.0
1288,26999.0
1290,59900.0
1291,54990.0
1293,63888.0
1295,26590.0
1296,38990.0
1297,12990.0
1298,22950.0
1303,47887.0
1304,18888.0
1307,32990.0
1308,29990.0
1309,53490.0
1313,19990.0
1314,29690.0
1316,33990.0
1318,23887.0
1319,19987.0
1321,16990.0
1322,46290.0
1323,22990.0
1324,4300.0
1325,6999.0
1327,47900.0
1328,37380.0
1329,24990.0
1331,31990.0
1334,22995.0
1335,36980.0
1337,36950.0
1338,15950.0
1339,28800.0
1340,23800.0
1341,20990.0
1342,10900.0
1343,22950.0
1344,29888.0
1346,49990.0
1348,43888.0
1349,26990.0
1351,10999.0
1352,28950.0
1353,10990.0
1354,37990.0
1355,22980.0
1356,52990.0
1357,25990.0
1358,20990.0
1359,11999.0
1360,26950.0
1362,21990.0
1363,40990.0
1365,14995.0
1366,26888.0
1367,44280.0
1368,17980.0
1370,29900.0
1372,23980.0
1373,16995.0
1375,36888.0
1377,41900.0
1380,25490.0
1383,64990.0
1384,23980.0
1385,9990.0
1386,39990.0
1388,26990.0
1391,21950.0
1392,22950.0
1393,60319.0
1396,19888.0
1400,18988.0
1401,10990.0
1402,18880.0
1406,43555.0
1407,11800.0
1408,15995.0
1409,59880.0
1412,23990.0
1414,25980.0
1416,34900.0
1417,23990.0
1419,18990.0
1420,12999.0
1425,14995.0
1428,18888.0
1429,19990.0
1431,10990.0
1432,25990.0
1434,23950.0
1437,23990.0
1438,27888.0
1439,21990.0
1440,56900.0
1441,22888.0
1446,36990.0
1452,14998.0
1455,43990.0
1458,17950.0
1459,25900.0
1460,33990.0
1461,18800.0
1462,19995.0
1463,26990.0
1464,49290.0
1466,17490.0
1467,29388.0
1471,10950.0
1474,21995.0
1475,54950.0
1476,26999.0
1478,15990.0
1481,47975.0
1484,27990.0
1486,51990.0
1487,16888.0
1488,10990.0
1489,24990.0
1490,15995.0
1493,16995.0
1494,23980.0
1495,27290.0
1499,27999.0
1501,27880.0
1502,25990.0
1509,21990.0
1510,44380.0
1511,27900.0
1513,20995.0
1516,43999.0
1517,41863.0
1519,56880.0
1524,45880.0
1525,21990.0
1527,14800.0
1528,19990.0
1529,12990.0
1531,34750.0
1532,37990.0
1533,18950.0
1537,45880.0
1538,37990.0
1540,27000.0
1544,19490.0
1546,23995.0
1548,24999.0
1549,21888.0
1550,19490.0
1551,21950.0
1553,25990.0
1556,12990.0
1557,7995.0
1562,24990.0
1569,8999.0
1570,46888.0
1572,11888.0
1573,56800.0
1574,11950.0
1577,22990.0
1580,36990.0
1581,22990.0
1582,41880.0
1587,39990.0
1588,17980.0
1589,61990.0
1592,39888.0
1593,22995.0
1596,10990.0
1597,12980.0
1598,16990.0
1599,28990.0
1600,19990.0
1602,38995.0
1605,46490.0
1606,9990.0
1607,62888.0
1609,27888.0
1610,42888.0
1611,21990.0
1613,25290.0
1614,29990.0
1615,32999.0
1616,10999.0
1619,8995.0
1621,29480.0
1622,18950.0
1624,19995.0
1626,33990.0
1628,29888.0
1630,12999.0
1632,26950.0
1635,35990.0
1638,26990.0
1639,23990.0
1640,32888.0
1641,41990.0
1642,23900.0
1645,22990.0
1646,10950.0
1647,11788.0
1648,34990.0
1649,23490.0
1650,21999.0
1651,16990.0
1652,24990.0
1654,17990.0
1655,13990.0
1656,32990.0
1657,24990.0
1658,45990.0
1660,26990.0
1661,33990.0
1668,24995.0
1671,19990.0
1672,19999.0
1673,28990.0
1676,28888.0
1677,25995.0
1678,11800.0
1680,25950.0
1682,7999.0
1683,41485.0
1685,23995.0
1686,19990.0
1687,29888.0
1689,19880.0
1690,49990.0
1691,29990.0
1692,14995.0
1693,25880.0
1698,1895.0
1699,41990.0
1705,55880.0
1711,63490.0
1712,33800.0
1713,18800.0
1714,57990.0
1715,35888.0
1716,22890.0
